"region","occupation (SSYK 2012)","sector","sex","2014","2015","2016","2017"
"12 Skåne county","311 Physical and engineering science technicians","county councils","women",7,11,9,9
"12 Skåne county","311 Physical and engineering science technicians","other public institutions","men",1,1,1,1
"12 Skåne county","311 Physical and engineering science technicians","other public institutions","women",2,3,2,2
"12 Skåne county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",6646,7055,7357,7604
"12 Skåne county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",1343,1428,1504,1644
"12 Skåne county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",116,116,99,95
"12 Skåne county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",8,12,11,10
"12 Skåne county","311 Physical and engineering science technicians","central government corporations and organisations","men",120,122,118,120
"12 Skåne county","311 Physical and engineering science technicians","central government corporations and organisations","women",31,21,27,26
"12 Skåne county","311 Physical and engineering science technicians","local government corporations and organisations","men",261,270,280,290
"12 Skåne county","311 Physical and engineering science technicians","local government corporations and organisations","women",66,68,87,89
"12 Skåne county","311 Physical and engineering science technicians","other organisations","men",68,65,61,62
"12 Skåne county","311 Physical and engineering science technicians","other organisations","women",21,23,17,11
"12 Skåne county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"12 Skåne county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"13 Halland county","311 Physical and engineering science technicians","central government","men",43,46,46,50
"13 Halland county","311 Physical and engineering science technicians","central government","women",5,5,4,10
"13 Halland county","311 Physical and engineering science technicians","central government quasi-corporations","men",1,0,0,0
"13 Halland county","311 Physical and engineering science technicians","central government quasi-corporations","women",1,1,1,1
"13 Halland county","311 Physical and engineering science technicians","primary local government","men",104,101,97,108
"13 Halland county","311 Physical and engineering science technicians","primary local government","women",66,72,77,74
"13 Halland county","311 Physical and engineering science technicians","county councils","men",16,14,18,15
"13 Halland county","311 Physical and engineering science technicians","county councils","women",6,6,6,8
"13 Halland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"13 Halland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"13 Halland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1373,1375,1440,1461
"13 Halland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",209,218,230,260
"13 Halland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",10,31,30,35
"13 Halland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",2,3,3,2
"13 Halland county","311 Physical and engineering science technicians","central government corporations and organisations","men",465,455,417,398
"13 Halland county","311 Physical and engineering science technicians","central government corporations and organisations","women",79,90,78,79
"13 Halland county","311 Physical and engineering science technicians","local government corporations and organisations","men",56,60,65,66
"13 Halland county","311 Physical and engineering science technicians","local government corporations and organisations","women",20,19,22,27
"13 Halland county","311 Physical and engineering science technicians","other organisations","men",24,25,36,36
"13 Halland county","311 Physical and engineering science technicians","other organisations","women",1,0,5,10
"13 Halland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"13 Halland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"14 Västra Götaland county","311 Physical and engineering science technicians","central government","men",322,333,377,350
"14 Västra Götaland county","311 Physical and engineering science technicians","central government","women",59,81,112,129
"14 Västra Götaland county","311 Physical and engineering science technicians","central government quasi-corporations","men",10,9,8,8
"14 Västra Götaland county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"14 Västra Götaland county","311 Physical and engineering science technicians","primary local government","men",511,517,546,585
"14 Västra Götaland county","311 Physical and engineering science technicians","primary local government","women",321,333,381,405
"14 Västra Götaland county","311 Physical and engineering science technicians","county councils","men",88,88,94,102
"14 Västra Götaland county","311 Physical and engineering science technicians","county councils","women",21,26,31,39
"14 Västra Götaland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"14 Västra Götaland county","311 Physical and engineering science technicians","other public institutions","women",1,1,0,0
"14 Västra Götaland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",13458,12881,13322,14133
"14 Västra Götaland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",2855,2720,2884,3194
"14 Västra Götaland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",188,218,255,269
"14 Västra Götaland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",25,35,38,34
"14 Västra Götaland county","311 Physical and engineering science technicians","central government corporations and organisations","men",456,444,460,497
"14 Västra Götaland county","311 Physical and engineering science technicians","central government corporations and organisations","women",101,93,103,121
"14 Västra Götaland county","311 Physical and engineering science technicians","local government corporations and organisations","men",519,580,603,516
"14 Västra Götaland county","311 Physical and engineering science technicians","local government corporations and organisations","women",153,172,171,158
"14 Västra Götaland county","311 Physical and engineering science technicians","other organisations","men",91,90,85,79
"14 Västra Götaland county","311 Physical and engineering science technicians","other organisations","women",28,29,26,25
"14 Västra Götaland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"14 Västra Götaland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"17 Värmland county","311 Physical and engineering science technicians","central government","men",25,25,21,21
"17 Värmland county","311 Physical and engineering science technicians","central government","women",6,6,10,10
"17 Värmland county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"17 Värmland county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"17 Värmland county","311 Physical and engineering science technicians","primary local government","men",100,96,96,100
"17 Värmland county","311 Physical and engineering science technicians","primary local government","women",49,51,58,61
"17 Värmland county","311 Physical and engineering science technicians","county councils","men",25,25,21,24
"17 Värmland county","311 Physical and engineering science technicians","county councils","women",4,4,6,7
"17 Värmland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"17 Värmland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"17 Värmland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1692,1658,1831,1792
"17 Värmland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",306,297,355,387
"17 Värmland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",5,7,24,25
"17 Värmland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",1,1,3,3
"17 Värmland county","311 Physical and engineering science technicians","central government corporations and organisations","men",37,30,36,33
"17 Värmland county","311 Physical and engineering science technicians","central government corporations and organisations","women",8,8,8,7
"17 Värmland county","311 Physical and engineering science technicians","local government corporations and organisations","men",35,34,39,43
"17 Värmland county","311 Physical and engineering science technicians","local government corporations and organisations","women",9,7,8,8
"17 Värmland county","311 Physical and engineering science technicians","other organisations","men",16,18,23,21
"17 Värmland county","311 Physical and engineering science technicians","other organisations","women",1,4,2,0
"17 Värmland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"17 Värmland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"18 Örebro county","311 Physical and engineering science technicians","central government","men",42,37,34,38
"18 Örebro county","311 Physical and engineering science technicians","central government","women",14,13,13,13
"18 Örebro county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,1,1,0
"18 Örebro county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"18 Örebro county","311 Physical and engineering science technicians","primary local government","men",72,76,75,73
"18 Örebro county","311 Physical and engineering science technicians","primary local government","women",41,40,37,42
"18 Örebro county","311 Physical and engineering science technicians","county councils","men",17,20,19,17
"18 Örebro county","311 Physical and engineering science technicians","county councils","women",6,7,6,3
"18 Örebro county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"18 Örebro county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"18 Örebro county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",2138,2168,2223,2166
"18 Örebro county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",495,488,486,468
"18 Örebro county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",8,7,24,25
"18 Örebro county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",0,0,1,1
"18 Örebro county","311 Physical and engineering science technicians","central government corporations and organisations","men",37,34,36,41
"18 Örebro county","311 Physical and engineering science technicians","central government corporations and organisations","women",3,2,11,10
"18 Örebro county","311 Physical and engineering science technicians","local government corporations and organisations","men",41,47,55,55
"18 Örebro county","311 Physical and engineering science technicians","local government corporations and organisations","women",5,4,5,3
"18 Örebro county","311 Physical and engineering science technicians","other organisations","men",10,10,10,10
"18 Örebro county","311 Physical and engineering science technicians","other organisations","women",1,0,2,0
"18 Örebro county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"18 Örebro county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"19 Västmanland county","311 Physical and engineering science technicians","central government","men",61,60,78,106
"19 Västmanland county","311 Physical and engineering science technicians","central government","women",12,10,27,38
"19 Västmanland county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"19 Västmanland county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"19 Västmanland county","311 Physical and engineering science technicians","primary local government","men",66,71,67,60
"19 Västmanland county","311 Physical and engineering science technicians","primary local government","women",35,35,40,40
"19 Västmanland county","311 Physical and engineering science technicians","county councils","men",15,16,15,17
"19 Västmanland county","311 Physical and engineering science technicians","county councils","women",4,6,8,7
"19 Västmanland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"19 Västmanland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"19 Västmanland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",2319,2312,2406,2377
"19 Västmanland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",392,388,475,479
"19 Västmanland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",34,27,23,11
"19 Västmanland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",4,3,1,1
"19 Västmanland county","311 Physical and engineering science technicians","central government corporations and organisations","men",25,24,25,33
"19 Västmanland county","311 Physical and engineering science technicians","central government corporations and organisations","women",6,5,6,7
"19 Västmanland county","311 Physical and engineering science technicians","local government corporations and organisations","men",157,172,165,202
"19 Västmanland county","311 Physical and engineering science technicians","local government corporations and organisations","women",44,47,61,65
"19 Västmanland county","311 Physical and engineering science technicians","other organisations","men",6,3,7,5
"19 Västmanland county","311 Physical and engineering science technicians","other organisations","women",3,4,3,2
