"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"06 Jönköping county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",27151,28227,29334,30378,31050,32953,33292,33626,33593,33588,32705,32118,31572,31096,30699,31561,31501,31425,31193,30974,30776,30687,30679,30635,30381,30085,29894,29751,29700,29579,29429,29395,29283,29000
"06 Jönköping county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",31564,32229,33160,33849,34989,37647,37920,39002,39063,38593,37659,36947,36237,35446,34774,34162,33660,33183,32628,32088,31592,31131,30784,30303,29880,29341,28960,28531,28091,27648,27198,26876,26332,25738
"06 Jönköping county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",10928,10835,11070,11170,11228,13108,13508,13805,14219,15539,16261,17235,18129,19119,19737,20904,21679,22263,22985,23820,24907,25792,26858,27767,28632,29597,30666,31675,32386,33042,33804,34420,35024,35520
"06 Jönköping county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",6092,6367,6736,7044,7442,8922,9333,9833,10451,11727,12577,13641,14266,14973,15513,17773,18614,19349,20008,20755,21673,22529,23517,24444,25180,25854,26649,27311,27895,28232,28697,28868,29288,29409
"06 Jönköping county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",6039,6427,6783,7199,7678,9054,9278,9558,9888,10240,10800,10990,11274,11385,11604,11593,11767,12045,12323,12619,12784,12939,13134,13505,13897,14384,14739,14921,15092,15376,15798,16420,16878,17225
"06 Jönköping county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6842,7214,7413,7687,8276,10044,10302,10733,11068,11637,12127,12357,12999,13140,13591,12900,13109,13366,13905,14168,14046,14091,14263,14582,15014,15365,15706,15895,16167,16405,16728,17176,17617,17820
"06 Jönköping county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5457,5557,5666,5745,6100,6588,6624,6577,6635,6985,7119,7260,7412,7551,7743,8813,9173,9583,10032,10425,10933,11279,11719,12015,12363,12768,13164,13507,13909,14357,14715,15167,15446,15952
"06 Jönköping county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",5186,5417,5620,5810,6081,6393,6583,6626,6804,7207,7478,7811,8127,8668,9126,11663,12385,13185,13799,14629,15743,16603,17536,18395,19120,19944,20727,21627,22452,23227,24010,24869,25560,26384
"06 Jönköping county","total 16-74 years","post-graduate education (ISCED97 6)","men",246,262,263,276,295,247,247,237,244,271,268,278,280,291,312,330,348,357,371,378,393,416,436,457,462,471,474,481,496,514,523,522,526,545
"06 Jönköping county","total 16-74 years","post-graduate education (ISCED97 6)","women",72,73,77,83,87,34,34,36,36,52,50,58,60,66,76,82,106,115,125,147,153,167,180,201,222,237,255,276,300,316,330,357,376,389
"06 Jönköping county","total 16-74 years","no information about level of educational attainment","men",6753,6529,6759,7040,7837,1455,1957,2166,2838,1980,1642,1716,1485,1608,1453,1427,1532,1385,1470,1481,1466,1766,1873,1992,2047,2124,1970,2027,2222,2197,2305,2725,3241,3532
"06 Jönköping county","total 16-74 years","no information about level of educational attainment","women",4885,4513,4653,4687,5161,1213,1727,1963,2708,1852,1658,1687,1562,1666,1507,1474,1563,1432,1544,1593,1465,1725,1720,1918,1955,1966,1680,1697,1770,1753,1768,2065,2367,2449
