Utbildningsgrupp (SUN 2000),SUN 2000,2006 Samtliga,2006 Kvinnor,2006 Män,2007 Samtliga,2007 Kvinnor,2007 Män,2008 Samtliga,2008 Kvinnor,2008 Män,2009 Samtliga,2009 Kvinnor,2009 Män,2010 Samtliga,2010 Kvinnor,2010 Män,2011 Samtliga,2011 Kvinnor,2011 Män,2012 Samtliga,2012 Kvinnor,2012 Män,2013 Samtliga,2013 Kvinnor,2013 Män,2014 Samtliga,2014 Kvinnor,2014 Män,2015 Samtliga,2015 Kvinnor,2015 Män,2016 Samtliga,2016 Kvinnor,2016 Män,2017 Samtliga,2017 Kvinnor,2017 Män,2018 Samtliga,2018 Kvinnor,2018 Män
Hälso- och sjukvård samt social omsorg,Läkarutbildning                                                                                     ,39342,17696,21646,40781,18727,22054,41989,19669,22320,43058,20577,22481,43953,21364,22589,44687,22014,22673,45200,22623,22577,45998,23286,22712,47189,24168,23021,48521,25097,23424,50247,26199,24048,51279,26989,24290,52590,27976,24614
Hälso- och sjukvård samt social omsorg,Receptarieutbildning                                                                                ,5717,5564,153,5753,5590,163,5693,5528,165,5539,5363,176,5366,5184,182,5128,4939,189,4943,4762,181,4745,4562,183,4553,4360,193,4424,4226,198,4342,4133,209,4347,4129,218,4367,4132,235
Hälso- och sjukvård samt social omsorg,Sjukgymnastutbildning/fysioterapeututbildning                                                       ,12865,10151,2714,12956,10178,2778,12951,10132,2819,12860,10010,2850,12999,10058,2941,13086,10056,3030,13077,9965,3112,13104,9915,3189,13100,9838,3262,13153,9820,3333,13231,9873,3358,13309,9901,3408,13430,9936,3494
Hälso- och sjukvård samt social omsorg,Sjuksköterskeutbildning                                                                             ,118600,106798,11802,120464,108168,12296,121641,108928,12713,122727,109576,13151,123532,110094,13438,124780,111027,13753,125163,111159,14004,125699,111458,14241,126143,111665,14478,126681,111937,14744,127449,112430,15019,127867,112640,15227,128786,113292,15494
Hälso- och sjukvård samt social omsorg,Social serviceutbildning                                                                            ,11859,10780,1079,12051,10924,1127,12279,11086,1193,12501,11262,1239,12732,11426,1306,12908,11498,1410,12941,11488,1453,12972,11478,1494,12957,11418,1539,13081,11469,1612,13144,11462,1682,13225,11442,1783,13198,11351,1847
Hälso- och sjukvård samt social omsorg,Socionomutbildning                                                                                  ,30131,24470,5661,31056,25391,5665,31857,26189,5668,32615,26938,5677,33468,27839,5629,34528,28886,5642,35544,29879,5665,36636,30921,5715,37831,32083,5748,38795,33048,5747,39824,34112,5712,40703,35036,5667,41421,35771,5650
Hälso- och sjukvård samt social omsorg,Tandhygienistutbildning                                                                             ,3608,3549,59,3625,3560,65,3639,3566,73,3618,3548,70,3593,3515,78,3572,3492,80,3545,3464,81,3510,3428,82,3449,3364,85,3375,3285,90,3318,3228,90,3249,3155,94,3218,3114,104
Hälso- och sjukvård samt social omsorg,Tandläkarutbildning                                                                                 ,9117,4641,4476,9127,4725,4402,9088,4783,4305,9024,4817,4207,8987,4866,4121,8961,4920,4041,8913,4976,3937,8894,5046,3848,9015,5139,3876,9213,5293,3920,9348,5375,3973,9369,5456,3913,9451,5584,3867
Hälso- och sjukvård samt social omsorg,Övrig eftergymnasial utbildning inom hälso- och sjukvård/social omsorg                              ,26124,19776,6348,28674,21863,6811,31472,24251,7221,34212,26532,7680,36437,28503,7934,39301,30935,8366,42457,33610,8847,46050,36531,9519,49691,39401,10290,53270,42313,10957,57519,45673,11846,61260,48728,12532,64814,51867,12947
Tjänster,Hotell- och restaurangutbildning på gymnasial nivå                                                  ,71666,43636,28030,75032,45304,29728,77365,46244,31121,77136,45926,31210,79831,47289,32542,82878,48904,33974,85395,50274,35121,88197,51989,36208,91212,53873,37339,94064,55654,38410,96554,57074,39480,99477,58739,40738,100787,59295,41492
