"region","occupation (SSYK 2012)","age","sex","2014","2015","2016","2017"
"20 Dalarna county","311 Physical and engineering science technicians","55-59 years","men",308,315,321,316
"20 Dalarna county","311 Physical and engineering science technicians","55-59 years","women",33,36,38,37
"20 Dalarna county","311 Physical and engineering science technicians","60-64 years","men",289,287,304,297
"20 Dalarna county","311 Physical and engineering science technicians","60-64 years","women",23,30,36,32
"21 Gävleborg county","311 Physical and engineering science technicians","16-24 years","men",61,56,65,61
"21 Gävleborg county","311 Physical and engineering science technicians","16-24 years","women",19,11,20,31
"21 Gävleborg county","311 Physical and engineering science technicians","25-29 years","men",123,132,154,192
"21 Gävleborg county","311 Physical and engineering science technicians","25-29 years","women",52,54,64,58
"21 Gävleborg county","311 Physical and engineering science technicians","30-34 years","men",195,188,208,212
"21 Gävleborg county","311 Physical and engineering science technicians","30-34 years","women",59,59,67,88
"21 Gävleborg county","311 Physical and engineering science technicians","35-39 years","men",228,222,261,254
"21 Gävleborg county","311 Physical and engineering science technicians","35-39 years","women",45,43,49,62
"21 Gävleborg county","311 Physical and engineering science technicians","40-44 years","men",300,300,307,304
"21 Gävleborg county","311 Physical and engineering science technicians","40-44 years","women",58,55,64,55
"21 Gävleborg county","311 Physical and engineering science technicians","45-49 years","men",335,365,376,399
"21 Gävleborg county","311 Physical and engineering science technicians","45-49 years","women",52,60,61,64
"21 Gävleborg county","311 Physical and engineering science technicians","50-54 years","men",297,311,370,390
"21 Gävleborg county","311 Physical and engineering science technicians","50-54 years","women",30,28,36,41
"21 Gävleborg county","311 Physical and engineering science technicians","55-59 years","men",289,275,300,310
"21 Gävleborg county","311 Physical and engineering science technicians","55-59 years","women",35,35,38,41
"21 Gävleborg county","311 Physical and engineering science technicians","60-64 years","men",208,228,263,289
"21 Gävleborg county","311 Physical and engineering science technicians","60-64 years","women",41,51,56,50
"22 Västernorrland county","311 Physical and engineering science technicians","16-24 years","men",60,55,58,51
"22 Västernorrland county","311 Physical and engineering science technicians","16-24 years","women",9,16,19,11
"22 Västernorrland county","311 Physical and engineering science technicians","25-29 years","men",136,121,149,155
"22 Västernorrland county","311 Physical and engineering science technicians","25-29 years","women",28,33,39,45
"22 Västernorrland county","311 Physical and engineering science technicians","30-34 years","men",209,181,197,195
"22 Västernorrland county","311 Physical and engineering science technicians","30-34 years","women",45,41,39,42
"22 Västernorrland county","311 Physical and engineering science technicians","35-39 years","men",272,255,255,256
"22 Västernorrland county","311 Physical and engineering science technicians","35-39 years","women",50,51,57,63
"22 Västernorrland county","311 Physical and engineering science technicians","40-44 years","men",280,291,279,276
"22 Västernorrland county","311 Physical and engineering science technicians","40-44 years","women",59,52,51,50
"22 Västernorrland county","311 Physical and engineering science technicians","45-49 years","men",370,353,339,302
"22 Västernorrland county","311 Physical and engineering science technicians","45-49 years","women",68,70,76,72
"22 Västernorrland county","311 Physical and engineering science technicians","50-54 years","men",349,370,380,406
"22 Västernorrland county","311 Physical and engineering science technicians","50-54 years","women",58,57,49,49
"22 Västernorrland county","311 Physical and engineering science technicians","55-59 years","men",310,329,317,341
"22 Västernorrland county","311 Physical and engineering science technicians","55-59 years","women",44,48,34,40
"22 Västernorrland county","311 Physical and engineering science technicians","60-64 years","men",262,254,247,251
"22 Västernorrland county","311 Physical and engineering science technicians","60-64 years","women",34,31,32,28
"23 Jämtland county","311 Physical and engineering science technicians","16-24 years","men",15,12,24,21
"23 Jämtland county","311 Physical and engineering science technicians","16-24 years","women",2,6,2,5
"23 Jämtland county","311 Physical and engineering science technicians","25-29 years","men",39,45,47,51
"23 Jämtland county","311 Physical and engineering science technicians","25-29 years","women",11,10,11,19
"23 Jämtland county","311 Physical and engineering science technicians","30-34 years","men",73,57,66,66
"23 Jämtland county","311 Physical and engineering science technicians","30-34 years","women",12,10,12,19
"23 Jämtland county","311 Physical and engineering science technicians","35-39 years","men",79,82,90,90
"23 Jämtland county","311 Physical and engineering science technicians","35-39 years","women",20,19,16,19
"23 Jämtland county","311 Physical and engineering science technicians","40-44 years","men",117,105,87,97
"23 Jämtland county","311 Physical and engineering science technicians","40-44 years","women",23,14,15,19
"23 Jämtland county","311 Physical and engineering science technicians","45-49 years","men",99,101,98,97
"23 Jämtland county","311 Physical and engineering science technicians","45-49 years","women",12,16,21,17
"23 Jämtland county","311 Physical and engineering science technicians","50-54 years","men",91,93,103,104
"23 Jämtland county","311 Physical and engineering science technicians","50-54 years","women",9,12,11,13
"23 Jämtland county","311 Physical and engineering science technicians","55-59 years","men",98,100,98,90
"23 Jämtland county","311 Physical and engineering science technicians","55-59 years","women",8,9,10,6
"23 Jämtland county","311 Physical and engineering science technicians","60-64 years","men",92,87,83,81
"23 Jämtland county","311 Physical and engineering science technicians","60-64 years","women",7,5,3,2
"24 Västerbotten county","311 Physical and engineering science technicians","16-24 years","men",58,69,84,63
"24 Västerbotten county","311 Physical and engineering science technicians","16-24 years","women",18,18,14,15
